time,aswdifd_s,aswdir_s,t_2m,t_g
10/10/2015 0:00,0.0,0.0,291.449951171875,291.798583984375
11/10/2015 01:00,0.0,0.0,291.165771484375,291.743896484375
11/10/2015 02:00,0.0,0.0,290.91064453125,291.6484375
11/10/2015 03:00,0.0,0.0,290.831298828125,291.538330078125
11/10/2015 04:00,0.0,0.0,290.717041015625,291.4287109375
11/10/2015 05:00,0.0,0.0,291.284423828125,291.31298828125
11/10/2015 06:00,9.432777777777778,8.308333333333334,291.452880859375,291.24365234375
11/10/2015 07:00,73.24277777777777,64.49388888888889,291.471435546875,291.494140625
11/10/2015 08:00,155.14666666666668,136.61222222222221,291.73486328125,291.90966796875
11/10/2015 09:00,317.7655555555556,279.765,292.093994140625,292.576171875
11/10/2015 10:00,414.27222222222224,364.7238888888889,292.601806640625,293.369873046875
11/10/2015 11:00,471.1361111111111,414.7738888888889,292.995849609375,294.008056640625
11/10/2015 12:00,523.5966666666667,460.94,293.47314453125,294.472412109375
11/10/2015 13:00,489.97555555555556,431.31555555555553,293.844482421875,294.55615234375
11/10/2015 14:00,383.4172222222222,337.53055555555557,294.1865234375,294.3876953125
11/10/2015 15:00,186.8322222222222,164.5,294.1435546875,293.84912109375
11/10/2015 16:00,113.49944444444445,99.91777777777777,293.709716796875,293.261474609375
11/10/2015 17:00,7.137222222222222,6.2844444444444445,293.092041015625,292.650146484375
11/10/2015 18:00,0.0,0.0,292.549560546875,292.18896484375
11/10/2015 19:00,0.0,0.0,292.07666015625,291.794677734375
11/10/2015 20:00,0.0,0.0,291.896240234375,291.581787109375
11/10/2015 21:00,0.0,0.0,291.661865234375,291.327880859375
11/10/2015 22:00,0.0,0.0,291.22802734375,291.08154296875
11/10/2015 23:00,0.0,0.0,290.680908203125,290.78662109375
